Species,Group,Log10Mass,ABS-Latitude,ABS-Longitude,PC1,PC2,PC3,PC4
Atelocynus_microtis,1,3.922373521,10.12026905,71.30720048,0.019,0.0328,-0.008,0.00676
Canis_adustus,1,4.016719615,1.205417455,20.48193436,0.0753,0.0796,0.0388,-0.00451
Canis_aureus,1,3.984918677,24.69958633,38.63348745,0.0677,0.0342,0.0281,-0.0063
Canis_latrans,1,4.078786583,35.50386242,107.3011494,0.0861,0.0385,0.0288,-0.0198
Canis_lupus,1,4.501832768,26.19717766,57.65369596,0.0795,0.00304,0.0281,-0.0313
Canis_mesomelas,1,3.916311793,15.08978385,24.18664188,0.0624,0.0517,0.00572,0.0061
Canis_simensis,1,4.157210689,6.71698,35.26389333,0.0862,0.0643,0.0204,-0.00575
Cerdocyon_thous,1,3.759037472,21.39632137,60.06039011,0.0917,0.0409,0.0168,-0.00682
Chrysocyon_brachyurus,1,4.367821652,21.52258495,46.515768,0.0526,0.0516,0.0293,-0.0432
Cuon_alpinus,1,4.198657087,30.52170897,58.39576586,0.0225,0.0166,0.0396,0.0469
Dusicyon_australis,1,4.243038049,40.03033,69.156244,0.0737,0.041,0.0666,-0.0202
Lycalopex_culpaeus,1,3.935317787,20.61843629,27.70558845,0.0332,0.0426,0.00983,-0.0129
Lycalopex_griseus,1,3.600972896,41.69607963,66.46716979,0.103,0.0637,0.0388,0.00801
Lycalopex_gymnocercus,1,3.657311189,30.09590091,49.04107747,0.108,0.0265,0.0368,0.0114
Lycalopex_sechurae,1,3.626750854,6.279517027,79.83093973,0.0991,0.036,0.0511,0.00859
Lycalopex_vetulus,1,3.626696487,17.06180455,47.35643545,0.0386,0.0478,0.0163,-0.000814
Lycaon_pictus,1,4.342422483,13.35746824,21.65069653,0.0573,-0.00395,0.0295,0.0154
Nyctereutes_procyonoides,1,3.624796549,56.52433838,15.85107848,-0.0182,0.0144,0.0196,0.0114
Otocyon_megalotis,1,3.612584671,19.00094314,24.54568729,0.0279,0.0317,0.0163,0.00958
Speothos_venaticus,1,3.801028944,7.762193333,64.35777667,-0.00599,-0.0182,0.0239,0.0717
Urocyon_cinereoargenteus,1,3.583619258,34.13686786,104.4384297,0.0526,0.0202,0.00569,0.0112
Vulpes_bengalensis,1,3.400434368,22.17738,84.69511786,0.118,0.0541,0.06,0.0275
Vulpes_chama,1,3.465353104,23.6173375,20.24243518,0.076,0.0678,0.0413,-0.00667
Vulpes_corsac,1,3.417526496,33.48337,81.35723571,0.11,0.0303,0.0624,-0.0144
Vulpes_lagopus,1,3.554412834,68.6129599,70.763773,0.0338,0.06,0.0206,-0.0287
Vulpes_pallida,1,3.447159582,10.8511725,11.3532555,0.081,0.082,0.0449,-0.00423
Vulpes_rueppellii,1,3.511879352,27.93595337,28.63219695,0.109,0.0278,0.0449,-0.0179
Vulpes_velox,1,3.319730494,37.0791175,103.53357,0.12,0.0513,0.0388,-0.00546
Vulpes_vulpes,1,3.683079474,52.9768327,6.1287473,0.0553,0.0339,0.0414,-0.0166
